ID,Slug,Industry,Company,City,Website,Full Address,Profile Facebook,Profile Twitter,Profile Linkedin,Created By,Created On,Updated By,Updated On,Owner Id,Owner,Parent Company Slug,Kundentyp,Honorar %,AGB,Branche Unternehmen,Telefonzentrale
0,17610538520020115364RsU,None,kbo-Sozialpsychiatrisches Zentrum der Kliniken des Bezirks Oberbayern gemeinnützige GmbH,,www.kbo-spz.de,,,,,115364,1761053852,115364,1761053852,115364,Adrian Hardt,,,,,,
0,17610538524750115364YWo,None,RSM-Technik GmbH,,www.rsmtechnik.de,,,,,115364,1761053852,115364,1761053862,115364,Adrian Hardt,,,,,,
0,17610538535060115364krC,None,Hafenbrädl GmbH,München,www.hafenbraedl-gmbh.de,,,,,115364,1761053853,115364,1763547891,115364,Adrian Hardt,,,,,,
0,17610538565080115364GYR,None,Crafthunt GmbH,,www.crafthunt.app,,,,,115364,1761053856,115364,1761053861,115364,Adrian Hardt,,,,,,
0,17612107527720115364iWj,None,Schön Klinik Vogtareuth SE & Co. KG,Vogtareuth,,Krankenhausstr. 20 83569 Vogtareuth,,,,115364,1761210752,115364,1761210752,115364,Adrian Hardt,,,,,,
0,17612107535520115364CkS,None,Fresenius Health Services Deutschland-Betriebstechnik Mitte-Ost GmbH,Berlin,,Am Bahnhof Westend 9-11 14059 Berlin,,,,115364,1761210753,115364,1761210753,115364,Adrian Hardt,,,,,,
0,17612107615610115364Tjt,None,Schön Klinik München Schwabing,München,,Parzivalplatz 4 81541 München,,,,115364,1761210761,115364,1761210761,115364,Adrian Hardt,,,,,,
0,17612107648460115364zYn,None,Fresenius SE & Co. KGaA,Bad Homburg,www.fresenius.com,Else-Kröner-Str. 1 61352 Bad Homburg,,,,115364,1761210764,115364,1762788245,115364,Adrian Hardt,,,,,,61726080
0,17612107694260115364eQz,None,JUNG PUMPEN GmbH & Co.,Steinhagen,,Industriestr. 4-6 33803 Steinhagen,,,,115364,1761210769,115364,1761210769,115364,Adrian Hardt,,,,,,
0,17612107705900115364jwn,None,VAMED Fachpflege Schleswig,Schleswig,,Mühlenredder 12 24837 Schleswig,,,,115364,1761210770,115364,1761210770,115364,Adrian Hardt,,,,,,
0,17612107712030115364ORZ,None,Max Rischart's Backhaus,München,,Marienplatz 18 80331 München,,,,115364,1761210771,115364,1761210771,115364,Adrian Hardt,,,,,,
0,17612107718270115364Hry,None,Deutsche Rentenversicherung Bayern Süd,München,,Thomas-Dehler-Str. 3 81737 München,,,,115364,1761210771,115364,1761210771,115364,Adrian Hardt,,,,,,
0,17612107769840115364Iin,None,Betrieb Kanal - Landeshauptstadt München,München,,Schleißheimer Str. 387 A 80935 München,,,,115364,1761210776,115364,1761210776,115364,Adrian Hardt,,,,,,
0,17612107783560115364axD,None,DB InfraGO AG,Frankfurt am Main,,Adam-Riese-Str. 11-13 60327 Frankfurt am Main,,,,115364,1761210778,115364,1761210778,115364,Adrian Hardt,,,,,,
0,17612107805180115364GPK,None,BGZ Gesellschaft für Zwischenlagerung mbH,Essen,,Frohnhauser Str. 67 45127 Essen,,,,115364,1761210780,115364,1761210780,115364,Adrian Hardt,,,,,,
0,17612107818200115364WTR,None,Deutsche Post Briefzentrum DHL,München,,Flughafen 85356 München,,,,115364,1761210781,115364,1761210781,115364,Adrian Hardt,,,,,,
0,17612107881000115364hUd,None,Caritasverband der Erzdiözese München und Freising e.V.,München,,Hirtenstr. 2-4 80335 München,,,,115364,1761210788,115364,1762847200,115364,Adrian Hardt,,,,,,
0,17612107887140115364UPH,None,Klinikum rechts der Isar,München,,Langerstr. 3 81675 München,,,,115364,1761210788,115364,1761210788,115364,Adrian Hardt,,,,,,
0,17612107893010115364vDH,None,Enercon GmbH,Aurich,www.enercon.de,Dreekamp 5 26605 Aurich,,,,115364,1761210789,115364,1763547896,115364,Adrian Hardt,,,,,Elektrizitätsversorgung,49419270
0,17616393467590115364WhX,None,Kälte-Bast GmbH,Hamburg,www.kaelte-bast.de,Försterweg 81 22525 Hamburg,,,,115364,1761639346,115364,1762248341,115364,Adrian Hardt,,,,,Großhandel (ohne Handel mit Kraftfahrzeugen),40547040
0,17616393474570115364uOe,None,Heitmann IT GmbH,Bremen,www.heitmann-it.net,Julius-Faucher-Str. 28 28307 Bremen,,,,115364,1761639347,115364,1761639397,115364,Adrian Hardt,,,,,Erbringung von Dienstleistungen der Informationstechnologie,4214278670
0,17616393480530115364vHj,None,KardexDeutschland GmbH,Neuburg an der Kammel,www.kardex.de,Megamat-Platz 1 86476 Neuburg an der Kammel,,,,115364,1761639348,115364,1761639348,115364,Adrian Hardt,,,,,"Großhandel mit sonstigen Maschinen, Ausrüstungen und Zubehör",8283999119
0,17616393499310115364pXT,None,multimatic Vertriebs GmbH,Villingendorf,www.multimatic-usv.de,Im Wasen 2 78667 Villingendorf,,,,115364,1761639349,115364,1761639398,115364,Adrian Hardt,,,,,Großhandel mit Geräten der Informations- und Kommunikationstechnik,74192920
0,17616393505570115364BiJ,None,Hausgeräte Elektro-Drews,Hamburg,www.elektro-drews.de,Wellingsbüttler Weg 121 22391 Hamburg,,,,115364,1761639350,115364,1762248334,115364,Adrian Hardt,,,,,"Einzelhandel mit sonstigen Haushaltsgeräten, Textilien, Heimwerker- und Einrichtungsbedarf (in Verkaufsräumen)",405362875
0,17616393531770115364iZo,None,mobilespace GmbH,Hamburg,www.mobilespace.de,Süderstr. 112-114 (Hinterhaus) 20537 Hamburg,,,,115364,1761639353,115364,1761639398,115364,Adrian Hardt,,,,,Vermietung von Kraftwagen,40609409090
0,17616393552950115364Izx,None,Werner Bollwinkel GmbH,Bremen,www.bollwinkel.de,Kleiner Ort 13 28357 Bremen,,,,115364,1761639355,115364,1761639398,115364,Adrian Hardt,,,,,Instandhaltung und Reparatur von Kraftwagen,4216967780
0,17616393561000115364dji,None,H&R Meyller Aufzüge GmbH,Achim,www.hrmeylleraufzuege.de,Neue Finien 3 28832 Achim,,,,115364,1761639356,115364,1761639356,115364,Adrian Hardt,,,,,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen,
0,17616393580790115364kou,None,RIWA Tore & Türen GmbH,Allershausen,www.riwa-tore.de,Mühlenstr. 10 85391 Allershausen,,,,115364,1761639358,115364,1761639398,115364,Adrian Hardt,,,,,Sonstiger Großhandel,816699069
0,17616393592740115364fiy,None,EUROWATER Wasseraufbereitung GmbH,Augsburg,www.eurowater.com,Bürgermeister-Wegele-Str. 12 86167 Augsburg,,,,115364,1761639359,115364,1762248327,115364,Adrian Hardt,,,,,Wasserversorgung,407020620
0,17616393708850115364nNj,None,Werkstatt-Service-Nord GmbH,Kampen,www.wsn-nord.de,Kamper-Str. 26 24568 Kampen,,,,115364,1761639370,115364,1762248361,115364,Adrian Hardt,,,,,Instandhaltung und Reparatur von Kraftwagen,
0,17616393735040115364mNO,None,Benway Solutions GmbH,Delmenhorst,www.benway-solutions.de,Wissmannstr. 58 27755 Delmenhorst,,,,115364,1761639373,115364,1761639404,115364,Adrian Hardt,,,,,Erbringung von sonstigen Dienstleistungen für den Verkehr,42120488130
0,17616393765610115364PET,None,TEGRO Runge GmbH,Bremen,www.tegro-runge.de,Oppenheimerstr. 9 28307 Bremen,,,,115364,1761639376,115364,1761639398,115364,Adrian Hardt,,,,,"Großhandel mit sonstigen Maschinen, Ausrüstungen und Zubehör",421486850
0,17616393808860115364jdo,None,Horstkötter GmbH & Co. KG,Beckum,www.horstkoetter-tornado.de,Am Siechenbach 15 59269 Beckum,,,,115364,1761639380,115364,1761639399,115364,Adrian Hardt,,,,,"Großhandel mit sonstigen Maschinen, Ausrüstungen und Zubehör",252187070
0,17616393872910115364Nas,None,Auto Singer GmbH & Co. KG,Marktoberdorf,www.autosinger.de,Siemensring 17 87616 Marktoberdorf,,,,115364,1761639387,115364,1761639398,115364,Adrian Hardt,,,,,Handel mit Kraftwagen,834296990
0,17616393926210115364CHE,None,Autohaus Widmann GmbH,Weßling,www.autohaus-widmann.de,Hauptstr. 1 82234 Weßling,,,,115364,1761639392,115364,1761639398,115364,Adrian Hardt,,,,,Handel mit Kraftwagen,815392820
0,17616393938970115364wHR,None,Klaus Schlenker GmbH,Stuhr,www.schlenker-gmbh.com,Gottlieb-Daimler-Str. 30 28816 Stuhr,,,,115364,1761639393,115364,1761639397,115364,Adrian Hardt,,,,,Erbringung von sonstigen überwiegend persönlichen Dienstleistungen,421877610
0,17616393945860115364WPE,None,NGZ Geldzählmaschinenges. mbH & Co. KG,Dahlewitz,www.ngz-cash.de,Ludwig-Erhard-Ring 8 15827 Dahlewitz,,,,115364,1761639394,115364,1762248348,115364,Adrian Hardt,,,,,Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige,337083801
